Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-11,5.13,5.19,5.0,5.01,21027948.0,0.0,1.0,5.13,5.19,5.0,5.01,21027948.0
2016-07-08,4.84,5.15,4.82,5.1,28140749.0,0.0,1.0,4.84,5.15,4.82,5.1,28140749.0
2016-07-07,5.07,5.1,4.94,5.02,15813768.0,0.0,1.0,5.07,5.1,4.94,5.02,15813768.0
2016-07-06,4.91,5.11,4.9,5.04,19392887.0,0.0,1.0,4.91,5.11,4.9,5.04,19392887.0
2016-07-05,5.03,5.05,4.875,4.96,16332466.0,0.0,1.0,5.03,5.05,4.875,4.96,16332466.0
2016-07-01,5.09,5.14,5.0,5.07,18255878.0,0.0,1.0,5.09,5.14,5.0,5.07,18255878.0
2016-06-30,5.13,5.19,4.95,5.14,26124847.0,0.0,1.0,5.13,5.19,4.95,5.14,26124847.0
2016-06-29,5.31,5.4,5.1,5.13,33118283.0,0.0,1.0,5.31,5.4,5.1,5.13,33118283.0
2016-06-28,4.95,5.185,4.91,5.12,29221367.0,0.0,1.0,4.95,5.185,4.91,5.12,29221367.0
2016-06-27,4.88,5.05,4.65,4.72,31187599.0,0.0,1.0,4.88,5.05,4.65,4.72,31187599.0
2016-06-24,4.82,5.0675,4.76,4.88,36735157.0,0.0,1.0,4.82,5.0675,4.76,4.88,36735157.0
2016-06-23,5.17,5.26,5.05,5.21,29159174.0,0.0,1.0,5.17,5.26,5.05,5.21,29159174.0
2016-06-22,5.46,5.52,4.96,5.02,47943335.0,0.0,1.0,5.46,5.52,4.96,5.02,47943335.0
2016-06-21,5.1,5.5,5.09,5.45,35864591.0,0.0,1.0,5.1,5.5,5.09,5.45,35864591.0
2016-06-20,5.39,5.45,5.09,5.1,43541305.0,0.0,1.0,5.39,5.45,5.09,5.1,43541305.0
2016-06-17,4.75,5.27,4.68,5.26,64894090.0,0.0,1.0,4.75,5.27,4.68,5.26,64894090.0
2016-06-16,4.5,4.75,4.455,4.75,34182650.0,0.0,1.0,4.5,4.75,4.455,4.75,34182650.0
2016-06-15,4.44,4.48,4.3,4.42,11575250.0,0.0,1.0,4.44,4.48,4.3,4.42,11575250.0
2016-06-14,4.4,4.51,4.33,4.39,16757413.0,0.0,1.0,4.4,4.51,4.33,4.39,16757413.0
2016-06-13,4.32,4.48,4.32,4.4,13540907.0,0.0,1.0,4.32,4.48,4.32,4.4,13540907.0
2016-06-10,4.4,4.47,4.3,4.32,15106516.0,0.0,1.0,4.4,4.47,4.3,4.32,15106516.0
